datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-16 00:10:00,OANDA:XAUUSD,4531.635,4533.735,4529.555,4532.84,3874.0,False,False,False,True,False,False
2026-05-16 00:15:00,OANDA:XAUUSD,4532.845,4535.015,4531.55,4533.925,3350.0,False,False,False,False,True,False
2026-05-16 00:20:00,OANDA:XAUUSD,4533.97,4540.61,4533.53,4540.565,2898.0,True,False,False,False,True,False
2026-05-16 00:25:00,OANDA:XAUUSD,4540.545,4542.435,4537.315,4541.175,3472.0,False,False,False,False,True,False
2026-05-16 00:30:00,OANDA:XAUUSD,4541.24,4544.485,4540.175,4544.11,3477.0,True,False,True,False,True,False
2026-05-16 00:35:00,OANDA:XAUUSD,4544.125,4545.88,4542.985,4545.63,2413.0,False,False,True,False,True,False
2026-05-16 00:40:00,OANDA:XAUUSD,4545.71,4547.78,4543.81,4547.42,3406.0,False,False,True,False,True,False
2026-05-16 00:45:00,OANDA:XAUUSD,4547.52,4548.255,4545.115,4545.49,3120.0,False,False,True,False,False,False
2026-05-16 00:50:00,OANDA:XAUUSD,4545.48,4547.365,4541.94,4542.72,3146.0,False,False,False,False,False,True
2026-05-16 00:55:00,OANDA:XAUUSD,4542.7,4545.135,4542.075,4544.4,2498.0,False,False,False,False,False,False
2026-05-16 01:00:00,OANDA:XAUUSD,4544.23,4552.405,4543.105,4550.07,5257.0,True,False,True,False,True,False
2026-05-16 01:05:00,OANDA:XAUUSD,4550.22,4555.39,4549.745,4554.715,3392.0,True,False,True,False,True,False
2026-05-16 01:10:00,OANDA:XAUUSD,4554.78,4558.15,4554.51,4557.04,3394.0,False,False,True,False,True,False
2026-05-16 01:15:00,OANDA:XAUUSD,4557.045,4557.525,4554.52,4555.85,2934.0,False,False,False,False,False,False
2026-05-16 01:20:00,OANDA:XAUUSD,4555.835,4563.765,4555.32,4562.125,3707.0,False,False,True,False,True,False
2026-05-16 01:25:00,OANDA:XAUUSD,4562.165,4564.605,4556.62,4557.84,3702.0,False,False,True,False,False,False
2026-05-16 01:30:00,OANDA:XAUUSD,4557.825,4563.345,4557.76,4562.685,2773.0,False,False,False,False,False,False
2026-05-16 01:35:00,OANDA:XAUUSD,4562.65,4563.7,4560.24,4563.17,2612.0,False,False,False,False,False,False
2026-05-16 01:40:00,OANDA:XAUUSD,4563.155,4563.67,4560.67,4560.855,2739.0,False,False,False,False,False,False
2026-05-16 01:45:00,OANDA:XAUUSD,4560.86,4562.745,4559.885,4560.665,2306.0,False,True,False,False,False,True
